id,title,stage,genre,start_date,country,end_date,episodes_count,seasons_count
bde4cb35-f244-4bba-b3c2-646593433fba,Breaking Bad,FINISHED,THRILLER,2008-01-20,USA,2013-09-29,62,5
b2101aeb-2c6a-4798-836d-dca5c8879fd3,One Piece,AIRING,ANIME,1999-10-20,Japan,,1062,1
5e3832dd-291a-4f08-89e7-f817b5631c27,Speechless,FINISHED,SITCOM,2016-09-21,USA,2019-04-12,63,3
e6485f21-35eb-4d57-a2df-a9c17fde0f90,Everybody hates chris,FINISHED,SITCOM,2005-09-22,USA,2009-05-08,88,4
